Date,Open,High,Low,Close
"Mar 07, 2015",272.29,277.85,270.13,276.26
"Mar 08, 2015",276.43,277.86,272.57,274.35
"Mar 09, 2015",274.81,292.7,273.89,289.61
"Mar 10, 2015",289.86,300.04,289.74,291.76
"Mar 11, 2015",291.52,297.39,290.51,296.38
"Mar 12, 2015",296.13,297.09,292.41,294.35
"Mar 13, 2015",294.12,294.5,285.34,285.34
"Mar 14, 2015",284.44,286.34,280.98,281.89
"Mar 15, 2015",281.42,286.53,281.0,286.39
"Mar 16, 2015",285.68,294.11,285.68,290.59
"Mar 17, 2015",290.6,292.36,284.37,285.51
"Mar 18, 2015",285.07,285.34,249.87,256.3
"Mar 19, 2015",255.88,264.24,248.64,260.93
"Mar 20, 2015",260.96,264.85,259.16,261.75
"Mar 21, 2015",261.64,262.2,255.65,260.02
"Mar 22, 2015",259.92,269.75,259.59,267.96
"Mar 23, 2015",267.89,277.3,261.74,266.74
"Mar 24, 2015",266.58,267.0,244.15,245.6
"Mar 25, 2015",247.47,249.19,236.51,246.2
"Mar 26, 2015",246.28,254.35,244.9,248.53
"Mar 27, 2015",248.57,256.81,245.21,247.03
"Mar 28, 2015",246.98,254.21,246.98,252.8
"Mar 29, 2015",252.74,253.14,240.85,242.71
"Mar 30, 2015",242.88,249.24,239.21,247.53
"Mar 31, 2015",247.45,248.73,242.74,244.22
"Apr 01, 2015",244.22,247.54,241.16,247.27
"Apr 02, 2015",247.09,254.46,245.42,253.01
"Apr 03, 2015",253.07,256.04,251.88,254.32
"Apr 04, 2015",254.29,255.26,251.1,253.7
"Apr 05, 2015",253.76,260.67,251.94,260.6
"Apr 06, 2015",260.72,261.8,254.57,255.49
"Apr 07, 2015",255.27,255.8,252.21,253.18
"Apr 08, 2015",253.06,253.85,244.21,245.02
"Apr 09, 2015",244.75,246.12,239.4,243.68
"Apr 10, 2015",243.69,243.69,232.77,236.07
"Apr 11, 2015",236.02,239.54,234.18,236.55
"Apr 12, 2015",236.54,237.73,233.49,236.15
"Apr 13, 2015",235.95,236.93,222.0,224.59
"Apr 14, 2015",224.76,224.98,216.32,219.16
"Apr 15, 2015",219.07,223.83,218.65,223.83
"Apr 16, 2015",223.92,229.67,223.92,228.57
"Apr 17, 2015",228.57,228.91,221.94,222.88
"Apr 18, 2015",222.85,224.32,220.88,223.36
"Apr 19, 2015",223.46,226.35,222.37,222.6
"Apr 20, 2015",222.61,226.35,221.98,224.63
"Apr 21, 2015",224.62,235.27,224.3,235.27
"Apr 22, 2015",235.6,237.91,233.48,234.18
"Apr 23, 2015",234.05,236.48,233.2,236.46
"Apr 24, 2015",235.97,236.3,229.93,231.27
"Apr 25, 2015",231.24,232.56,226.34,226.39
"Apr 26, 2015",226.41,226.94,214.87,219.43
"Apr 27, 2015",219.43,233.3,218.02,229.29
"Apr 28, 2015",228.97,229.49,223.07,225.85
"Apr 29, 2015",225.59,227.04,223.43,225.81
"Apr 30, 2015",225.69,239.56,224.99,236.15
"May 01, 2015",235.94,238.97,232.08,232.08
"May 02, 2015",232.34,235.73,232.34,234.93
"May 03, 2015",234.88,243.24,234.08,240.36
"May 04, 2015",240.36,242.64,237.81,239.02
"May 05, 2015",238.85,239.2,232.05,236.12
"May 06, 2015",236.25,236.45,229.23,229.78
"May 07, 2015",229.66,239.1,228.57,237.33
"May 08, 2015",237.2,246.27,236.27,243.86
"May 09, 2015",243.77,247.8,239.64,241.83
"May 10, 2015",241.73,244.07,238.85,240.3
"May 11, 2015",240.3,244.27,239.38,242.16
"May 12, 2015",242.15,242.88,240.1,241.11
"May 13, 2015",241.4,243.7,235.04,236.38
"May 14, 2015",236.21,237.8,234.06,236.93
"May 15, 2015",236.96,238.75,236.79,237.6
"May 16, 2015",237.64,237.7,235.29,236.15
"May 17, 2015",236.01,238.02,236.01,236.8
"May 18, 2015",236.89,237.21,232.46,233.13
"May 19, 2015",233.04,234.15,231.82,231.95
"May 20, 2015",231.89,234.68,231.84,234.02
"May 21, 2015",234.02,236.24,233.84,235.34
"May 22, 2015",235.32,240.97,235.06,240.35
"May 23, 2015",240.29,241.02,238.69,238.87
"May 24, 2015",238.98,241.98,238.81,240.95
"May 25, 2015",240.93,241.02,236.64,237.11
"May 26, 2015",237.1,238.24,235.69,237.12
"May 27, 2015",237.07,238.64,236.7,237.28
"May 28, 2015",237.26,237.82,236.65,237.41
"May 29, 2015",237.38,237.52,235.73,237.1
"May 30, 2015",237.09,237.09,232.05,233.35
"May 31, 2015",233.13,233.25,229.54,230.19
"Jun 01, 2015",230.23,231.71,221.3,222.93
"Jun 02, 2015",222.89,226.42,222.42,225.8
"Jun 03, 2015",225.74,227.4,223.93,225.87
"Jun 04, 2015",225.77,226.58,224.05,224.32
"Jun 05, 2015",224.15,225.97,223.18,224.95
"Jun 06, 2015",225.01,225.72,224.38,225.62
"Jun 07, 2015",225.6,226.19,222.65,222.88
"Jun 08, 2015",222.88,229.46,222.84,228.49
"Jun 09, 2015",228.54,230.95,227.93,229.05
"Jun 10, 2015",228.99,229.78,228.01,228.8
"Jun 11, 2015",228.85,230.29,228.77,229.71
"Jun 12, 2015",229.71,231.06,229.31,229.98
"Jun 13, 2015",229.92,232.65,229.21,232.4
"Jun 14, 2015",232.44,234.86,232.0,233.54
"Jun 15, 2015",233.42,237.84,233.42,236.82
"Jun 16, 2015",236.76,251.74,236.12,250.9
"Jun 17, 2015",250.82,256.85,246.48,249.28
"Jun 18, 2015",249.43,252.11,244.13,249.01
"Jun 19, 2015",249.04,250.98,243.79,244.61
"Jun 20, 2015",244.53,245.83,240.63,245.21
"Jun 21, 2015",245.1,245.22,241.88,243.94
"Jun 22, 2015",243.97,247.92,243.78,246.99
"Jun 23, 2015",246.93,247.3,243.13,244.3
"Jun 24, 2015",244.28,244.34,240.51,240.51
"Jun 25, 2015",240.37,243.33,240.37,242.8
"Jun 26, 2015",242.6,243.75,241.55,243.59
"Jun 27, 2015",243.55,251.34,243.12,250.99
"Jun 28, 2015",250.96,251.17,247.43,249.01
"Jun 29, 2015",248.72,257.17,248.58,257.06
"Jun 30, 2015",257.04,267.87,255.95,263.07
"Jul 01, 2015",263.35,265.17,255.77,258.62
"Jul 02, 2015",258.55,261.63,254.12,255.41
"Jul 03, 2015",255.46,257.08,253.51,256.34
"Jul 04, 2015",256.49,261.46,254.2,260.89
"Jul 05, 2015",260.8,274.51,258.7,271.91
"Jul 06, 2015",271.11,277.42,267.6,269.03
"Jul 07, 2015",269.96,271.34,264.83,266.21
"Jul 08, 2015",265.98,272.97,264.39,270.79
"Jul 09, 2015",270.83,272.33,267.09,269.23
"Jul 10, 2015",269.16,294.59,268.8,284.89
"Jul 11, 2015",284.88,298.51,283.53,293.11
"Jul 12, 2015",293.14,314.39,292.51,310.87
"Jul 13, 2015",310.83,310.95,281.01,292.05
"Jul 14, 2015",292.03,296.15,286.64,287.46
"Jul 15, 2015",288.05,293.25,285.37,285.83
"Jul 16, 2015",286.04,291.18,275.24,278.09
"Jul 17, 2015",278.09,280.28,272.04,279.47
"Jul 18, 2015",279.33,282.53,274.08,274.9
